,State,Year,Quater,District,Transaction_count,Transaction_amount
0,andaman-&-nicobar-islands,2018,1,744101.0,1622,2769297.9039997994
1,andaman-&-nicobar-islands,2018,1,744103.0,1223,2238041.8716124697
2,andaman-&-nicobar-islands,2018,1,744102.0,969,3519059.937562449
3,andaman-&-nicobar-islands,2018,1,744105.0,685,1298560.9515503529
4,andaman-&-nicobar-islands,2018,1,744104.0,340,1039715.311145054
5,andaman-&-nicobar-islands,2018,1,744107.0,302,556059.5308556345
6,andaman-&-nicobar-islands,2018,1,744301.0,283,445739.1633851439
7,andaman-&-nicobar-islands,2018,1,744112.0,269,333709.56700413954
8,andaman-&-nicobar-islands,2018,1,744202.0,193,238914.01667155625
9,andaman-&-nicobar-islands,2018,1,744302.0,168,547469.6509380838
10,andaman-&-nicobar-islands,2018,2,744101.0,2701,6310089.917084678
11,andaman-&-nicobar-islands,2018,2,744103.0,1965,4752146.698501162
12,andaman-&-nicobar-islands,2018,2,744102.0,1525,5810267.574788321
13,andaman-&-nicobar-islands,2018,2,744105.0,997,2200332.971862734
14,andaman-&-nicobar-islands,2018,2,744301.0,767,1953749.3787199224
15,andaman-&-nicobar-islands,2018,2,744104.0,659,1650346.1906506256
16,andaman-&-nicobar-islands,2018,2,744107.0,594,1601569.982144104
17,andaman-&-nicobar-islands,2018,2,744112.0,432,578829.1795229593
18,andaman-&-nicobar-islands,2018,2,744202.0,405,626523.9803147907
19,andaman-&-nicobar-islands,2018,2,744302.0,291,1026590.0735863491
20,andaman-&-nicobar-islands,2018,3,744101.0,3462,10833893.444488766
21,andaman-&-nicobar-islands,2018,3,744103.0,3182,10184154.358592125
22,andaman-&-nicobar-islands,2018,3,744102.0,2224,10365275.479700703
23,andaman-&-nicobar-islands,2018,3,744105.0,1613,5152534.080403434
24,andaman-&-nicobar-islands,2018,3,744104.0,1029,2588077.6866583927
25,andaman-&-nicobar-islands,2018,3,744301.0,975,4256576.349618757
26,andaman-&-nicobar-islands,2018,3,744112.0,579,1145815.7801705198
27,andaman-&-nicobar-islands,2018,3,744107.0,547,1492405.302862124
28,andaman-&-nicobar-islands,2018,3,744302.0,417,1976781.919949036
29,andaman-&-nicobar-islands,2018,3,744202.0,341,2099404.078986112
30,andaman-&-nicobar-islands,2018,4,744101.0,4674,16392855.280625315
31,andaman-&-nicobar-islands,2018,4,744103.0,4576,17022520.257624768
32,andaman-&-nicobar-islands,2018,4,744102.0,3306,17019977.183053624
33,andaman-&-nicobar-islands,2018,4,744105.0,2513,9935282.83215146
34,andaman-&-nicobar-islands,2018,4,744104.0,1432,6091757.917089159
35,andaman-&-nicobar-islands,2018,4,744211.0,1225,3451359.606027063
36,andaman-&-nicobar-islands,2018,4,744301.0,928,4606293.657525641
37,andaman-&-nicobar-islands,2018,4,744112.0,759,2208675.0435713646
38,andaman-&-nicobar-islands,2018,4,744107.0,747,1825659.512897896
39,andaman-&-nicobar-islands,2018,4,744202.0,702,3797054.167763442
40,andaman-&-nicobar-islands,2019,1,744103.0,5742,19401964.77965755
41,andaman-&-nicobar-islands,2019,1,744101.0,5156,15501306.22719592
42,andaman-&-nicobar-islands,2019,1,744102.0,3925,16683547.094795756
43,andaman-&-nicobar-islands,2019,1,744105.0,3553,11588669.48032856
44,andaman-&-nicobar-islands,2019,1,744104.0,2833,9141657.219605075
45,andaman-&-nicobar-islands,2019,1,744211.0,1511,5794838.401831552
46,andaman-&-nicobar-islands,2019,1,744202.0,1112,3613381.294736007
47,andaman-&-nicobar-islands,2019,1,744107.0,1029,3592930.297577925
48,andaman-&-nicobar-islands,2019,1,744301.0,920,4652963.41114777
49,andaman-&-nicobar-islands,2019,1,744112.0,802,1893718.65378222
50,andaman-&-nicobar-islands,2019,2,744104.0,6142,15625676.560883244
51,andaman-&-nicobar-islands,2019,2,744103.0,5847,23751450.067206983
52,andaman-&-nicobar-islands,2019,2,744101.0,4863,19061125.41121897
53,andaman-&-nicobar-islands,2019,2,744102.0,4120,18948733.987097777
54,andaman-&-nicobar-islands,2019,2,744105.0,3500,13418692.199162653
55,andaman-&-nicobar-islands,2019,2,744202.0,1153,3619993.3910789257
56,andaman-&-nicobar-islands,2019,2,744107.0,1124,2967445.3902032813
57,andaman-&-nicobar-islands,2019,2,744211.0,1047,3168331.99173521
58,andaman-&-nicobar-islands,2019,2,744301.0,1007,4849284.51925976
59,andaman-&-nicobar-islands,2019,2,744112.0,763,2928099.608406143
60,andaman-&-nicobar-islands,2019,3,744103.0,5680,19906337.014255583
61,andaman-&-nicobar-islands,2019,3,744101.0,5606,18745152.093515635
62,andaman-&-nicobar-islands,2019,3,744104.0,4786,15754793.354826454
63,andaman-&-nicobar-islands,2019,3,744102.0,3643,14572605.602745283
64,andaman-&-nicobar-islands,2019,3,744105.0,3512,11767223.99688773
65,andaman-&-nicobar-islands,2019,3,744202.0,1417,3875602.0982028735
66,andaman-&-nicobar-islands,2019,3,744301.0,1402,6195496.621729916
67,andaman-&-nicobar-islands,2019,3,744211.0,1118,2983697.449378184
68,andaman-&-nicobar-islands,2019,3,744107.0,914,1988299.759710987
