,State,Year,Quater,District,Transaction_count,Transaction_amount
6329,telangana,2022,4,500034.0,967508435,1501499856273.482
6319,telangana,2022,3,500034.0,832279716,1276247184385.9084
6309,telangana,2022,2,500001.0,296874552,536659038240.45605
6299,telangana,2022,1,500001.0,248675599,460948755722.1826
5729,rajasthan,2022,4,302012.0,255709582,401447081116.40735
6289,telangana,2021,4,500001.0,213053128,398798138080.5085
3170,karnataka,2022,4,560027.0,290033166,383980424744.5664
3150,karnataka,2022,2,560001.0,271515853,367011500113.69904
4109,maharashtra,2022,2,411004.0,262731186,356436998068.0399
1770,delhi,2022,4,110006.0,258183697,349487194869.168
