,index,State,Year,Quater,Latitude,Longitude,Transaction_count,Transaction_amount,code
0,0,Andaman & Nicobar,2018,1,10.0001051,93.0000194,6658,14631761.22198579,AN
1,1,Andaman & Nicobar,2018,2,10.0001051,93.0000194,11340,28338535.507953543,AD
2,2,Andaman & Nicobar,2018,3,10.0001051,93.0000194,16265,55557471.1343111,AR
3,3,Andaman & Nicobar,2018,4,10.0001051,93.0000194,23758,90548336.07445519,AS
4,4,Andaman & Nicobar,2019,1,10.0001051,93.0000194,30486,102299740.67348987,BR
5,5,Andaman & Nicobar,2019,2,10.0001051,93.0000194,33689,120254709.67566319,CH
6,6,Andaman & Nicobar,2019,3,10.0001051,93.0000194,33770,114071776.08729394,CG
7,7,Andaman & Nicobar,2019,4,10.0001051,93.0000194,35159,136838530.5173779,DNHDD
8,8,Andaman & Nicobar,2020,1,10.0001051,93.0000194,41298,161476312.29727465,DL
9,9,Andaman & Nicobar,2020,2,10.0001051,93.0000194,62962,169645001.41414708,GA
10,10,Andaman & Nicobar,2020,3,10.0001051,93.0000194,117483,338019446.3303604,GJ
11,11,Andaman & Nicobar,2020,4,10.0001051,93.0000194,224531,627282656.3148525,HR
12,12,Andaman & Nicobar,2021,1,10.0001051,93.0000194,244752,783706567.3897556,HP
13,13,Andaman & Nicobar,2021,2,10.0001051,93.0000194,341414,899147016.1122961,JK
14,14,Andaman & Nicobar,2021,3,10.0001051,93.0000194,449764,1310024395.8016036,JH
15,15,Andaman & Nicobar,2021,4,10.0001051,93.0000194,636123,1932610101.3236573,KA
16,16,Andaman & Nicobar,2022,1,10.0001051,93.0000194,794748,2129030202.0751672,KL
17,17,Andaman & Nicobar,2022,2,10.0001051,93.0000194,1071217,2685920350.080266,LA
18,18,Andaman & Nicobar,2022,3,10.0001051,93.0000194,1584379,3310631772.1373873,LD
19,19,Andaman & Nicobar,2022,4,10.0001051,93.0000194,1987535,3984674404.4287868,MP
20,20,Andhra Pradesh,2018,1,15.9240905,80.1863809,9039585,11996276391.823305,MH
21,21,Andhra Pradesh,2018,2,15.9240905,80.1863809,12353918,22883914272.633064,MN
22,22,Andhra Pradesh,2018,3,15.9240905,80.1863809,25626061,35718044599.21493,ML
23,23,Andhra Pradesh,2018,4,15.9240905,80.1863809,30759548,51473779406.841,MZ
24,24,Andhra Pradesh,2019,1,15.9240905,80.1863809,57264522,83760595917.0764,NL
25,25,Andhra Pradesh,2019,2,15.9240905,80.1863809,56409015,113634518758.22995,OD
26,26,Andhra Pradesh,2019,3,15.9240905,80.1863809,76288614,139447944254.79395,PY
27,27,Andhra Pradesh,2019,4,15.9240905,80.1863809,107218103,200948315488.79117,PB
28,28,Andhra Pradesh,2020,1,15.9240905,80.1863809,127677357,252737214289.0628,RJ
29,29,Andhra Pradesh,2020,2,15.9240905,80.1863809,144917855,302583689746.5638,SK
30,30,Andhra Pradesh,2020,3,15.9240905,80.1863809,204902935,467084130584.9084,TN
31,31,Andhra Pradesh,2020,4,15.9240905,80.1863809,286118552,654841546033.3309,TS
32,32,Andhra Pradesh,2021,1,15.9240905,80.1863809,289747970,672444670176.6162,TR
33,33,Andhra Pradesh,2021,2,15.9240905,80.1863809,352767134,850737499108.2452,UP
34,34,Andhra Pradesh,2021,3,15.9240905,80.1863809,432032550,984218035564.1165,UK
35,35,Andhra Pradesh,2021,4,15.9240905,80.1863809,522254003,1156264447083.98,WB
36,36,Andhra Pradesh,2022,1,15.9240905,80.1863809,582603911,1294320646554.8762,
37,37,Andhra Pradesh,2022,2,15.9240905,80.1863809,671134030,1479853948202.9336,
38,38,Andhra Pradesh,2022,3,15.9240905,80.1863809,642855035,1385077409712.1433,
39,39,Andhra Pradesh,2022,4,15.9240905,80.1863809,690017077,1424725083041.656,
40,40,Arunachal Pradesh,2018,1,28.0937702,94.5921326,45497,92387336.00940917,
41,41,Arunachal Pradesh,2018,2,28.0937702,94.5921326,82157,198970192.34204647,
42,42,Arunachal Pradesh,2018,3,28.0937702,94.5921326,131146,331726406.74139136,
43,43,Arunachal Pradesh,2018,4,28.0937702,94.5921326,176429,504040029.0917603,
44,44,Arunachal Pradesh,2019,1,28.0937702,94.5921326,226506,609950106.3139497,
45,45,Arunachal Pradesh,2019,2,28.0937702,94.5921326,258656,752655874.3550282,
46,46,Arunachal Pradesh,2019,3,28.0937702,94.5921326,370234,912645034.7958703,
