,State,Year,Quater,Transaction_type,Transaction_count,Transaction_amount,code,Latitude,Longitude
0,Andaman & Nicobar,2018,1,Recharge & bill payments,4200,1845307.467365509,AN,10.0001051,93.0000194
1,Andaman & Nicobar,2018,1,Peer-to-peer payments,1871,12138655.299749982,AN,10.0001051,93.0000194
2,Andaman & Nicobar,2018,1,Merchant payments,298,452507.168646613,AN,10.0001051,93.0000194
3,Andaman & Nicobar,2018,1,Financial Services,33,10601.419933464951,AN,10.0001051,93.0000194
4,Andaman & Nicobar,2018,1,Others,256,184689.8662902223,AN,10.0001051,93.0000194
5,Andaman & Nicobar,2018,2,Recharge & bill payments,6735,2320944.731074479,AN,10.0001051,93.0000194
6,Andaman & Nicobar,2018,2,Peer-to-peer payments,3575,24511925.231047668,AN,10.0001051,93.0000194
7,Andaman & Nicobar,2018,2,Merchant payments,603,1024491.0133579008,AN,10.0001051,93.0000194
8,Andaman & Nicobar,2018,2,Financial Services,59,121336.0270987509,AN,10.0001051,93.0000194
9,Andaman & Nicobar,2018,2,Others,368,359838.50537474576,AN,10.0001051,93.0000194
10,Andaman & Nicobar,2018,3,Recharge & bill payments,8636,4343504.868377829,AN,10.0001051,93.0000194
11,Andaman & Nicobar,2018,3,Peer-to-peer payments,6448,49270781.54163504,AN,10.0001051,93.0000194
12,Andaman & Nicobar,2018,3,Merchant payments,945,1627359.8394868043,AN,10.0001051,93.0000194
13,Andaman & Nicobar,2018,3,Financial Services,42,1481.4907042806483,AN,10.0001051,93.0000194
14,Andaman & Nicobar,2018,3,Others,194,314343.39410715323,AN,10.0001051,93.0000194
15,Andaman & Nicobar,2018,4,Recharge & bill payments,11517,5450549.512294375,AN,10.0001051,93.0000194
16,Andaman & Nicobar,2018,4,Peer-to-peer payments,10451,81001456.97825177,AN,10.0001051,93.0000194
17,Andaman & Nicobar,2018,4,Merchant payments,1421,3552027.735492656,AN,10.0001051,93.0000194
18,Andaman & Nicobar,2018,4,Financial Services,29,76035.7877393286,AN,10.0001051,93.0000194
19,Andaman & Nicobar,2018,4,Others,340,468266.0606770435,AN,10.0001051,93.0000194
20,Andaman & Nicobar,2019,1,Recharge & bill payments,15263,6611459.872972583,AN,10.0001051,93.0000194
21,Andaman & Nicobar,2019,1,Peer-to-peer payments,13119,91808345.86839552,AN,10.0001051,93.0000194
22,Andaman & Nicobar,2019,1,Merchant payments,1759,3266589.8469614363,AN,10.0001051,93.0000194
23,Andaman & Nicobar,2019,1,Financial Services,62,116250.436718611,AN,10.0001051,93.0000194
24,Andaman & Nicobar,2019,1,Others,283,497094.6484417205,AN,10.0001051,93.0000194
25,Andaman & Nicobar,2019,2,Recharge & bill payments,14676,7242448.256212333,AN,10.0001051,93.0000194
26,Andaman & Nicobar,2019,2,Peer-to-peer payments,14481,107525358.66652842,AN,10.0001051,93.0000194
27,Andaman & Nicobar,2019,2,Merchant payments,4031,4702152.616619372,AN,10.0001051,93.0000194
28,Andaman & Nicobar,2019,2,Financial Services,124,113278.91371326068,AN,10.0001051,93.0000194
29,Andaman & Nicobar,2019,2,Others,377,671471.222589792,AN,10.0001051,93.0000194
30,Andaman & Nicobar,2019,3,Recharge & bill payments,16219,8171737.705916681,AN,10.0001051,93.0000194
31,Andaman & Nicobar,2019,3,Peer-to-peer payments,13767,101079821.10344616,AN,10.0001051,93.0000194
32,Andaman & Nicobar,2019,3,Merchant payments,3519,4428734.574846684,AN,10.0001051,93.0000194
33,Andaman & Nicobar,2019,3,Financial Services,50,158857.94315586874,AN,10.0001051,93.0000194
34,Andaman & Nicobar,2019,3,Others,215,232624.75992853564,AN,10.0001051,93.0000194
35,Andaman & Nicobar,2019,4,Peer-to-peer payments,18128,121493224.30754513,AN,10.0001051,93.0000194
36,Andaman & Nicobar,2019,4,Recharge & bill payments,13851,9538690.916424634,AN,10.0001051,93.0000194
37,Andaman & Nicobar,2019,4,Merchant payments,2920,5247500.487902376,AN,10.0001051,93.0000194
38,Andaman & Nicobar,2019,4,Financial Services,60,295937.2110898865,AN,10.0001051,93.0000194
39,Andaman & Nicobar,2019,4,Others,200,263177.5944158883,AN,10.0001051,93.0000194
40,Andaman & Nicobar,2020,1,Peer-to-peer payments,18324,142332401.79234773,AN,10.0001051,93.0000194
41,Andaman & Nicobar,2020,1,Recharge & bill payments,18268,10850414.023977457,AN,10.0001051,93.0000194
42,Andaman & Nicobar,2020,1,Merchant payments,4424,7752871.558217709,AN,10.0001051,93.0000194
43,Andaman & Nicobar,2020,1,Financial Services,66,208231.7307165264,AN,10.0001051,93.0000194
44,Andaman & Nicobar,2020,1,Others,216,332393.19201521645,AN,10.0001051,93.0000194
45,Andaman & Nicobar,2020,2,Recharge & bill payments,38125,17659622.73418829,AN,10.0001051,93.0000194
46,Andaman & Nicobar,2020,2,Peer-to-peer payments,20303,141728757.73517442,AN,10.0001051,93.0000194
47,Andaman & Nicobar,2020,2,Merchant payments,4004,9236375.740471344,AN,10.0001051,93.0000194
48,Andaman & Nicobar,2020,2,Financial Services,175,706932.1397115812,AN,10.0001051,93.0000194
49,Andaman & Nicobar,2020,2,Others,355,313313.0646014327,AN,10.0001051,93.0000194
50,Andaman & Nicobar,2020,3,Recharge & bill payments,59310,24756220.875469357,AN,10.0001051,93.0000194
51,Andaman & Nicobar,2020,3,Peer-to-peer payments,40697,289078946.7312394,AN,10.0001051,93.0000194
52,Andaman & Nicobar,2020,3,Merchant payments,16096,22682992.238478824,AN,10.0001051,93.0000194
53,Andaman & Nicobar,2020,3,Financial Services,572,961836.7129860274,AN,10.0001051,93.0000194
54,Andaman & Nicobar,2020,3,Others,808,539449.7721868362,AN,10.0001051,93.0000194
55,Andaman & Nicobar,2020,4,Peer-to-peer payments,81439,533316526.1814983,AN,10.0001051,93.0000194
56,Andaman & Nicobar,2020,4,Recharge & bill payments,80811,33710030.534383245,AN,10.0001051,93.0000194
57,Andaman & Nicobar,2020,4,Merchant payments,59391,56867468.940003954,AN,10.0001051,93.0000194
58,Andaman & Nicobar,2020,4,Financial Services,965,1880546.967237064,AN,10.0001051,93.0000194
59,Andaman & Nicobar,2020,4,Others,1925,1508083.6917299272,AN,10.0001051,93.0000194
60,Andaman & Nicobar,2021,1,Peer-to-peer payments,105458,665391395.715478,AN,10.0001051,93.0000194
61,Andaman & Nicobar,2021,1,Recharge & bill payments,84119,37160922.86506996,AN,10.0001051,93.0000194
62,Andaman & Nicobar,2021,1,Merchant payments,53090,78606979.05751458,AN,10.0001051,93.0000194
63,Andaman & Nicobar,2021,1,Financial Services,884,1469351.0852598653,AN,10.0001051,93.0000194
64,Andaman & Nicobar,2021,1,Others,1201,1077918.666433228,AN,10.0001051,93.0000194
65,Andaman & Nicobar,2021,2,Peer-to-peer payments,132772,748382044.7707307,AN,10.0001051,93.0000194
66,Andaman & Nicobar,2021,2,Recharge & bill payments,120911,43691961.26275121,AN,10.0001051,93.0000194
67,Andaman & Nicobar,2021,2,Merchant payments,85143,103707408.50908464,AN,10.0001051,93.0000194
68,Andaman & Nicobar,2021,2,Financial Services,960,2038521.5136710336,AN,10.0001051,93.0000194
69,Andaman & Nicobar,2021,2,Others,1628,1327080.0560584562,AN,10.0001051,93.0000194
70,Andaman & Nicobar,2021,3,Peer-to-peer payments,192321,1077787837.1562996,AN,10.0001051,93.0000194
71,Andaman & Nicobar,2021,3,Recharge & bill payments,136010,51243450.85925055,AN,10.0001051,93.0000194
72,Andaman & Nicobar,2021,3,Merchant payments,118340,176991328.21761328,AN,10.0001051,93.0000194
73,Andaman & Nicobar,2021,3,Financial Services,990,2351013.441729573,AN,10.0001051,93.0000194
74,Andaman & Nicobar,2021,3,Others,2103,1650766.1267105162,AN,10.0001051,93.0000194
75,Andaman & Nicobar,2021,4,Peer-to-peer payments,285778,1544932663.2744582,AN,10.0001051,93.0000194
76,Andaman & Nicobar,2021,4,Merchant payments,210164,322842314.62433755,AN,10.0001051,93.0000194
77,Andaman & Nicobar,2021,4,Recharge & bill payments,135608,59243518.11464358,AN,10.0001051,93.0000194
78,Andaman & Nicobar,2021,4,Financial Services,1718,3137965.167474068,AN,10.0001051,93.0000194
79,Andaman & Nicobar,2021,4,Others,2855,2453640.142743944,AN,10.0001051,93.0000194
80,Andaman & Nicobar,2022,1,Peer-to-peer payments,342649,1682328505.7254477,AN,10.0001051,93.0000194
81,Andaman & Nicobar,2022,1,Merchant payments,284298,370091558.68373305,AN,10.0001051,93.0000194
82,Andaman & Nicobar,2022,1,Recharge & bill payments,163401,71300133.66101266,AN,10.0001051,93.0000194
83,Andaman & Nicobar,2022,1,Financial Services,1757,2869682.022951186,AN,10.0001051,93.0000194
84,Andaman & Nicobar,2022,1,Others,2643,2440321.9820225406,AN,10.0001051,93.0000194
85,Andaman & Nicobar,2022,2,Merchant payments,449540,510838980.9061847,AN,10.0001051,93.0000194
86,Andaman & Nicobar,2022,2,Peer-to-peer payments,437606,2088309073.4552848,AN,10.0001051,93.0000194
87,Andaman & Nicobar,2022,2,Recharge & bill payments,179515,82232936.61795366,AN,10.0001051,93.0000194
88,Andaman & Nicobar,2022,2,Financial Services,1448,2089862.3927160464,AN,10.0001051,93.0000194
89,Andaman & Nicobar,2022,2,Others,3108,2449496.7081265687,AN,10.0001051,93.0000194
90,Andaman & Nicobar,2022,3,Merchant payments,716105,693438186.296541,AN,10.0001051,93.0000194
91,Andaman & Nicobar,2022,3,Peer-to-peer payments,622217,2514535154.56483,AN,10.0001051,93.0000194
92,Andaman & Nicobar,2022,3,Recharge & bill payments,240766,97748065.62714244,AN,10.0001051,93.0000194
93,Andaman & Nicobar,2022,3,Financial Services,1814,2166304.9779766416,AN,10.0001051,93.0000194
94,Andaman & Nicobar,2022,3,Others,3477,2744060.670897343,AN,10.0001051,93.0000194
95,Andaman & Nicobar,2022,4,Merchant payments,956536,906365300.658504,AN,10.0001051,93.0000194
96,Andaman & Nicobar,2022,4,Peer-to-peer payments,768758,2961630584.8271317,AN,10.0001051,93.0000194
97,Andaman & Nicobar,2022,4,Recharge & bill payments,256050,110037119.66941178,AN,10.0001051,93.0000194
98,Andaman & Nicobar,2022,4,Financial Services,2499,3533987.230113048,AN,10.0001051,93.0000194
99,Andaman & Nicobar,2022,4,Others,3692,3107412.043626394,AN,10.0001051,93.0000194
100,Andhra Pradesh,2018,1,Recharge & bill payments,5027448,892293975.6698562,AD,15.9240905,80.1863809
101,Andhra Pradesh,2018,1,Peer-to-peer payments,3049646,10524250283.178782,AD,15.9240905,80.1863809
102,Andhra Pradesh,2018,1,Merchant payments,362672,247297640.2400069,AD,15.9240905,80.1863809
103,Andhra Pradesh,2018,1,Financial Services,204305,44808449.7639544,AD,15.9240905,80.1863809
104,Andhra Pradesh,2018,1,Others,395514,287626042.970705,AD,15.9240905,80.1863809
105,Andhra Pradesh,2018,2,Recharge & bill payments,6456387,1598591488.4880352,AD,15.9240905,80.1863809
106,Andhra Pradesh,2018,2,Peer-to-peer payments,4745000,20451493098.8953,AD,15.9240905,80.1863809
107,Andhra Pradesh,2018,2,Merchant payments,604847,436785223.8603296,AD,15.9240905,80.1863809
108,Andhra Pradesh,2018,2,Financial Services,225621,68952114.81374599,AD,15.9240905,80.1863809
109,Andhra Pradesh,2018,2,Others,322063,328092346.575651,AD,15.9240905,80.1863809
110,Andhra Pradesh,2018,3,Peer-to-peer payments,16129591,32738630444.668724,AD,15.9240905,80.1863809
111,Andhra Pradesh,2018,3,Recharge & bill payments,7542005,1949098146.8941927,AD,15.9240905,80.1863809
112,Andhra Pradesh,2018,3,Merchant payments,1225416,685277254.5076212,AD,15.9240905,80.1863809
113,Andhra Pradesh,2018,3,Financial Services,380324,60790077.57437308,AD,15.9240905,80.1863809
114,Andhra Pradesh,2018,3,Others,348725,284248675.5700202,AD,15.9240905,80.1863809
115,Andhra Pradesh,2018,4,Peer-to-peer payments,17580086,47011639726.13608,AD,15.9240905,80.1863809
116,Andhra Pradesh,2018,4,Recharge & bill payments,9767083,2418164314.470957,AD,15.9240905,80.1863809
117,Andhra Pradesh,2018,4,Merchant payments,2622131,1671585888.568256,AD,15.9240905,80.1863809
118,Andhra Pradesh,2018,4,Financial Services,400837,57178116.40322068,AD,15.9240905,80.1863809
119,Andhra Pradesh,2018,4,Others,389411,315211361.26249415,AD,15.9240905,80.1863809
120,Andhra Pradesh,2019,1,Peer-to-peer payments,37420988,77524329742.2595,AD,15.9240905,80.1863809
121,Andhra Pradesh,2019,1,Recharge & bill payments,14022264,3480641602.3771377,AD,15.9240905,80.1863809
122,Andhra Pradesh,2019,1,Merchant payments,5043682,2423536770.3706346,AD,15.9240905,80.1863809
123,Andhra Pradesh,2019,1,Financial Services,416325,47150177.52982048,AD,15.9240905,80.1863809
124,Andhra Pradesh,2019,1,Others,361263,284937624.5393019,AD,15.9240905,80.1863809
125,Andhra Pradesh,2019,2,Peer-to-peer payments,32494402,103924649232.4702,AD,15.9240905,80.1863809
126,Andhra Pradesh,2019,2,Recharge & bill payments,14093964,4708345387.9101095,AD,15.9240905,80.1863809
127,Andhra Pradesh,2019,2,Merchant payments,9226537,4613405202.681959,AD,15.9240905,80.1863809
128,Andhra Pradesh,2019,2,Financial Services,145310,26626696.771042537,AD,15.9240905,80.1863809
129,Andhra Pradesh,2019,2,Others,448802,361492238.3966455,AD,15.9240905,80.1863809
130,Andhra Pradesh,2019,3,Peer-to-peer payments,39023491,124338645329.51532,AD,15.9240905,80.1863809
131,Andhra Pradesh,2019,3,Recharge & bill payments,20147629,6893984676.598906,AD,15.9240905,80.1863809
132,Andhra Pradesh,2019,3,Merchant payments,16581787,7887394038.066369,AD,15.9240905,80.1863809
133,Andhra Pradesh,2019,3,Financial Services,122270,29778183.027080443,AD,15.9240905,80.1863809
134,Andhra Pradesh,2019,3,Others,413437,298142027.58625776,AD,15.9240905,80.1863809
135,Andhra Pradesh,2019,4,Peer-to-peer payments,57181511,178893550050.68753,AD,15.9240905,80.1863809
136,Andhra Pradesh,2019,4,Merchant payments,25122370,13476303367.50486,AD,15.9240905,80.1863809
137,Andhra Pradesh,2019,4,Recharge & bill payments,24469888,8335168605.691999,AD,15.9240905,80.1863809
138,Andhra Pradesh,2019,4,Financial Services,105662,26796571.745749157,AD,15.9240905,80.1863809
139,Andhra Pradesh,2019,4,Others,338672,216496893.1610288,AD,15.9240905,80.1863809
140,Andhra Pradesh,2020,1,Peer-to-peer payments,65452143,223088554055.04755,AD,15.9240905,80.1863809
141,Andhra Pradesh,2020,1,Merchant payments,31408022,18603161784.496998,AD,15.9240905,80.1863809
142,Andhra Pradesh,2020,1,Recharge & bill payments,30449644,10813530777.973532,AD,15.9240905,80.1863809
143,Andhra Pradesh,2020,1,Financial Services,75238,43739133.169823855,AD,15.9240905,80.1863809
144,Andhra Pradesh,2020,1,Others,292310,188228538.3748977,AD,15.9240905,80.1863809
145,Andhra Pradesh,2020,2,Peer-to-peer payments,73609921,262731724130.7907,AD,15.9240905,80.1863809
146,Andhra Pradesh,2020,2,Recharge & bill payments,41013987,16991006436.573467,AD,15.9240905,80.1863809
147,Andhra Pradesh,2020,2,Merchant payments,29976765,22625596525.44269,AD,15.9240905,80.1863809
148,Andhra Pradesh,2020,2,Financial Services,140941,145274999.15679634,AD,15.9240905,80.1863809
149,Andhra Pradesh,2020,2,Others,176241,90087654.6000998,AD,15.9240905,80.1863809
150,Andhra Pradesh,2020,3,Peer-to-peer payments,106791894,406461788252.32056,AD,15.9240905,80.1863809
151,Andhra Pradesh,2020,3,Merchant payments,54055557,40739580213.86052,AD,15.9240905,80.1863809
152,Andhra Pradesh,2020,3,Recharge & bill payments,43500067,19475104674.82717,AD,15.9240905,80.1863809
153,Andhra Pradesh,2020,3,Financial Services,243088,256074924.7187529,AD,15.9240905,80.1863809
154,Andhra Pradesh,2020,3,Others,312329,151582519.18136686,AD,15.9240905,80.1863809
155,Andhra Pradesh,2020,4,Peer-to-peer payments,152003791,566639138543.7708,AD,15.9240905,80.1863809
156,Andhra Pradesh,2020,4,Merchant payments,86581460,66654048149.95168,AD,15.9240905,80.1863809
157,Andhra Pradesh,2020,4,Recharge & bill payments,46810304,20936337211.557747,AD,15.9240905,80.1863809
158,Andhra Pradesh,2020,4,Financial Services,265470,305168772.45601684,AD,15.9240905,80.1863809
159,Andhra Pradesh,2020,4,Others,457527,306853355.59473807,AD,15.9240905,80.1863809
160,Andhra Pradesh,2021,1,Peer-to-peer payments,149313738,580542193013.0018,AD,15.9240905,80.1863809
161,Andhra Pradesh,2021,1,Merchant payments,97920281,70813192713.43477,AD,15.9240905,80.1863809
162,Andhra Pradesh,2021,1,Recharge & bill payments,41940689,20546424964.14482,AD,15.9240905,80.1863809
163,Andhra Pradesh,2021,1,Financial Services,225355,270313028.48452014,AD,15.9240905,80.1863809
164,Andhra Pradesh,2021,1,Others,347907,272546457.5502677,AD,15.9240905,80.1863809
165,Andhra Pradesh,2021,2,Peer-to-peer payments,189614879,737004484057.439,AD,15.9240905,80.1863809
166,Andhra Pradesh,2021,2,Merchant payments,112875274,88512429436.91248,AD,15.9240905,80.1863809
167,Andhra Pradesh,2021,2,Recharge & bill payments,49626902,24646800345.106976,AD,15.9240905,80.1863809
168,Andhra Pradesh,2021,2,Financial Services,243237,265483044.40124667,AD,15.9240905,80.1863809
169,Andhra Pradesh,2021,2,Others,406842,308302224.3856007,AD,15.9240905,80.1863809
170,Andhra Pradesh,2021,3,Peer-to-peer payments,221280317,837841124664.307,AD,15.9240905,80.1863809
171,Andhra Pradesh,2021,3,Merchant payments,158290953,118164377968.16754,AD,15.9240905,80.1863809
172,Andhra Pradesh,2021,3,Recharge & bill payments,51702350,27511344958.24361,AD,15.9240905,80.1863809
173,Andhra Pradesh,2021,3,Financial Services,211171,297239697.83073866,AD,15.9240905,80.1863809
174,Andhra Pradesh,2021,3,Others,547759,403948275.56756073,AD,15.9240905,80.1863809
175,Andhra Pradesh,2021,4,Peer-to-peer payments,262006450,971269765249.1282,AD,15.9240905,80.1863809
176,Andhra Pradesh,2021,4,Merchant payments,207538904,152883933596.5386,AD,15.9240905,80.1863809
177,Andhra Pradesh,2021,4,Recharge & bill payments,51762842,31232784713.985798,AD,15.9240905,80.1863809
178,Andhra Pradesh,2021,4,Financial Services,243951,332740108.6635881,AD,15.9240905,80.1863809
179,Andhra Pradesh,2021,4,Others,701856,545223415.6638832,AD,15.9240905,80.1863809
180,Andhra Pradesh,2022,1,Peer-to-peer payments,288488560,1089629182596.478,AD,15.9240905,80.1863809
181,Andhra Pradesh,2022,1,Merchant payments,242031836,169419685917.19562,AD,15.9240905,80.1863809
182,Andhra Pradesh,2022,1,Recharge & bill payments,51224170,34473036841.83001,AD,15.9240905,80.1863809
183,Andhra Pradesh,2022,1,Financial Services,231651,324358965.11859065,AD,15.9240905,80.1863809
184,Andhra Pradesh,2022,1,Others,627694,474382234.25397474,AD,15.9240905,80.1863809
185,Andhra Pradesh,2022,2,Peer-to-peer payments,321362337,1231408926513.7114,AD,15.9240905,80.1863809
186,Andhra Pradesh,2022,2,Merchant payments,292530048,205433660654.20895,AD,15.9240905,80.1863809
187,Andhra Pradesh,2022,2,Recharge & bill payments,56606969,42408541939.06145,AD,15.9240905,80.1863809
188,Andhra Pradesh,2022,2,Financial Services,192751,245783011.04455265,AD,15.9240905,80.1863809
189,Andhra Pradesh,2022,2,Others,441925,357036084.9071137,AD,15.9240905,80.1863809
190,Andhra Pradesh,2022,3,Peer-to-peer payments,298804000,1140164525892.7395,AD,15.9240905,80.1863809
191,Andhra Pradesh,2022,3,Merchant payments,291033653,202910820650.0824,AD,15.9240905,80.1863809
192,Andhra Pradesh,2022,3,Recharge & bill payments,52467708,41438764826.20322,AD,15.9240905,80.1863809
193,Andhra Pradesh,2022,3,Financial Services,187190,239347241.54655045,AD,15.9240905,80.1863809
194,Andhra Pradesh,2022,3,Others,362484,323951101.5715289,AD,15.9240905,80.1863809
195,Andhra Pradesh,2022,4,Merchant payments,321632104,211898851397.09848,AD,15.9240905,80.1863809
196,Andhra Pradesh,2022,4,Peer-to-peer payments,315734006,1170249585983.0112,AD,15.9240905,80.1863809
197,Andhra Pradesh,2022,4,Recharge & bill payments,52098850,41986837706.47902,AD,15.9240905,80.1863809
198,Andhra Pradesh,2022,4,Financial Services,206459,250596592.06465048,AD,15.9240905,80.1863809
199,Andhra Pradesh,2022,4,Others,345658,339211363.0027188,AD,15.9240905,80.1863809
200,Arunachal Pradesh,2018,1,Recharge & bill payments,28729,5184132.514934338,AR,28.0937702,94.5921326
